,Block Name,Point ID,CoordinateX,CoordinateY,CoordinateZ,Magnitude_Velocity_Dataset_V_MAG_N_1_1_0,Magnitude_Vorticity_Dataset_VORTICITY_MAG_N_1_1_0,Points_0,Points_1,Points_2,Points_Magnitude,Result_0,Result_1,Result_2,Result_Magnitude,X_Component_Velocity_Dataset_V_X_N_1_1_0,Y_Component_Velocity_Dataset_V_Y_N_1_1_0,Z_Component_Velocity_Dataset_V_Z_N_1_1_0,Vortex
0,x_plane_Step_1_Incr_0,0,3.14159,5.28586,2.59306,0.857094,0.767672,3.14159,5.28586,2.59306,6.67337,-1.81078e-08,0.817859,-0.25554,0.856852,-1.81078e-08,0.817859,-0.25554,0.0
1,x_plane_Step_1_Incr_0,1,3.14159,5.38559,2.59306,0.836459,0.74161,3.14159,5.38559,2.59306,6.75264,-1.16486e-09,0.800831,-0.241014,0.836312,-1.16486e-09,0.800831,-0.241014,0.0
2,x_plane_Step_1_Incr_0,2,3.14159,5.38559,2.49333,0.82866,0.704,3.14159,5.38559,2.49333,6.71497,1.77205e-08,0.788989,-0.252543,0.828421,1.77205e-08,0.788989,-0.252543,0.0
3,x_plane_Step_1_Incr_0,3,3.14159,5.28586,2.49333,0.85115,0.747256,3.14159,5.28586,2.49333,6.63525,1.73586e-09,0.806264,-0.272358,0.851023,1.73586e-09,0.806264,-0.272358,0.0
4,x_plane_Step_1_Incr_0,4,3.14159,5.18612,2.59306,0.86877,0.772476,3.14159,5.18612,2.59306,6.59465,-2.55056e-08,0.826283,-0.267,0.86835,-2.55056e-08,0.826283,-0.267,0.0
5,x_plane_Step_1_Incr_0,5,3.14159,5.18612,2.49333,0.865688,0.770362,3.14159,5.18612,2.49333,6.55608,-9.67869e-09,0.815716,-0.289378,0.865524,-9.67869e-09,0.815716,-0.289378,0.0
6,x_plane_Step_1_Incr_0,6,3.14159,5.28586,2.39359,0.832358,0.718837,3.14159,5.28586,2.39359,6.59842,3.34415e-08,0.787608,-0.267697,0.831858,3.34415e-08,0.787608,-0.267697,0.0
7,x_plane_Step_1_Incr_0,7,3.14159,5.38559,2.39359,0.808684,0.635587,3.14159,5.38559,2.39359,6.67858,4.8708e-08,0.770952,-0.241256,0.807819,4.8708e-08,0.770952,-0.241256,0.0
8,x_plane_Step_1_Incr_0,8,3.14159,5.18612,2.39359,0.850813,0.778419,3.14159,5.18612,2.39359,6.5188,1.5632e-08,0.79812,-0.294064,0.85057,1.5632e-08,0.79812,-0.294064,0.0
9,x_plane_Step_1_Incr_0,9,3.14159,5.28586,2.29386,0.798192,0.665074,3.14159,5.28586,2.29386,6.5629,6.24544e-08,0.76065,-0.235949,0.796405,6.24544e-08,0.76065,-0.235949,0.0
